Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Nancy Roberts,40,Non-binary,155 - 160 cm,Teacher,"Cars/Motorbikes, Tv shows/Movies, Traveling, Gaming","No, but I would love to",Hip-Hop/Rap,Scott Brown,"Horror/Thriller, Comedy, Drama",Frequently (more than 3 times a week),"Gym/Fitness classes, Swimming/Water sports","Mountains, Seaside","Sightseeing/Cultural tours, Hiking/Outdoor adventures","Skydiving or bungee jumping, Learning a new language",Gambling,Female,"No strong preference, Stylish/Well-groomed",No preference,No preference,3,3,"Disrespectful behavior, None of the above, Excessive drinking"
Anthony Richardson,29,Female,160 - 165 cm,Business,"Sports, Reading, Socializing",Yes – Other pet(s),"Pop, Jazz/Blues",Robert Young,"Romance, Drama, Horror/Thriller",Frequently (more than 3 times a week),"Yoga/Pilates, Gym/Fitness classes",Seaside,Swimming/Water sports,"Skydiving or bungee jumping, Traveling to a new continent",Smoking,Female,"Tall, No strong preference",46+,Highly active/Sporty,4,5,"Poor hygiene, None of the above"
Gloria Meyers,38,Prefer not to say,160 - 165 cm,IT Professional,"Hiking, Tv shows/Movies, Music/Art","No, but I would love to","Hip-Hop/Rap, Pop",Michael Harper,Romance,Occasionally (once a week or less),"I don't do any physical activities, Team sports","City breaks, Mountains",Hiking/Outdoor adventures,"Skydiving or bungee jumping, Traveling to a new continent","Prefer not to say, Gambling",Male,"Tall, Natural look",46+,No preference,3,2,"Smoking, None of the above, Lack of ambition"
Linda Sheppard,23,Male,175 - 180 cm,Student,"Traveling, Sports",No,Jazz/Blues,Nicole Martin,"Horror/Thriller, Science Fiction/Fantasy, Romance",Occasionally (once a week or less),"I don't do any physical activities, Team sports",Mountains,"Swimming/Water sports, Sightseeing/Cultural tours",Starting your own business,Regular alcohol consumption,Female,Tall,18–25,Moderately active,5,5,None of the above
Mr. Joshua Garrison,20,Non-binary,175 - 180 cm,IT Professional,"Cooking/Baking, Gym, Traveling, Gaming",No,"Hip-Hop/Rap, Classical, Electronic",Mason Hamilton,"Comedy, Action/Adventure",Regularly (2–3 times a week),"Running/Jogging, Gym/Fitness classes","Mountains, Adventure travel","Relaxing on the beach, Hiking/Outdoor adventures","Skydiving or bungee jumping, Starting your own business","Regular alcohol consumption, Gambling",Female,"No strong preference, Stylish/Well-groomed",46+,No preference,1,5,Lack of ambition
Austin Hancock,32,Non-binary,175 - 180 cm,Teacher,"Playing musical instruments, Hiking, Sports, Tv shows/Movies, Cars/Motorbikes","No, but I would love to","Manele, Classical",Micheal Mendez,Horror/Thriller,Regularly (2–3 times a week),"I don't do any physical activities, Running/Jogging","No strong preference, Seaside","Hiking/Outdoor adventures, Swimming/Water sports","Skydiving or bungee jumping, Learning a new language, Traveling to a new continent",Gambling,Female,"Tall, Stylish/Well-groomed",36–45,Not very active,4,1,"Excessive drinking, Poor hygiene, Smoking"
Sydney Ramirez,30,Male,170 - 175 cm,Healthcare,"Traveling, Cooking/Baking",Yes – Dog(s),"Jazz/Blues, Manele, Electronic",Kyle Ferguson,Horror/Thriller,Frequently (more than 3 times a week),Gym/Fitness classes,Seaside,"Hiking/Outdoor adventures, Swimming/Water sports","Skydiving or bungee jumping, Starting your own business","Smoking, Prefer not to say",Male,Athletic build,26–35,Not very active,1,3,"Disrespectful behavior, Excessive drinking, Smoking"
Sandra Buchanan,40,Non-binary,180 - 185 cm,Engineer,"Traveling, Sports, Gaming, Cooking/Baking",Yes – Cat(s),"Classical, Manele",Susan Ward,"Science Fiction/Fantasy, Horror/Thriller, Drama",I’m not very active,I don't do any physical activities,Countryside,"Hiking/Outdoor adventures, Swimming/Water sports","Learning a new language, Running a marathon","Gambling, None of the above",Male,"Natural look, Stylish/Well-groomed",18–25,Not very active,5,2,Lack of ambition
Dana Rodriguez,29,Female,200+ cm,Student,Gym,Yes – Dog(s),"Jazz/Blues, Classical, Rock",Megan Santiago,"Science Fiction/Fantasy, Action/Adventure, Drama",I’m not very active,"I don't do any physical activities, Swimming/Water sports",Mountains,"Sightseeing/Cultural tours, Hiking/Outdoor adventures","Traveling to a new continent, Learning a new language",Prefer not to say,It doesn't matter,"Natural look, No strong preference",18–25,Not very active,1,2,"Disrespectful behavior, Lack of ambition"
Philip Green,25,Male,190 - 195 cm,Other,"Cooking/Baking, Hiking, Gym, Socializing",No,"Rock, Manele",Stacy Fernandez,"Action/Adventure, Romance",Occasionally (once a week or less),"I don't do any physical activities, Yoga/Pilates","City breaks, Adventure travel",Hiking/Outdoor adventures,"Running a marathon, Skydiving or bungee jumping, Learning a new language",None of the above,Prefer not to say,Stylish/Well-groomed,18–25,No preference,3,1,"Disrespectful behavior, Excessive drinking, Lack of ambition"
Angelica Velasquez,20,Non-binary,170 - 175 cm,Student,"Hiking, Music/Art, Reading, Tv shows/Movies, Traveling",Yes – Dog(s),Pop,Bradley Norris,"Science Fiction/Fantasy, Comedy, Horror/Thriller",Regularly (2–3 times a week),"Yoga/Pilates, Team sports",Seaside,Swimming/Water sports,"Skydiving or bungee jumping, Running a marathon","Prefer not to say, None of the above",Male,"Natural look, Tall",26–35,No preference,5,5,Smoking
John Nicholson,18,Female,160 - 165 cm,Teacher,"Playing musical instruments, Gaming",Yes – Cat(s),"Hip-Hop/Rap, Pop, Jazz/Blues",Angela Meadows,"Science Fiction/Fantasy, Drama, Action/Adventure",Occasionally (once a week or less),Running/Jogging,"Countryside, Adventure travel","Hiking/Outdoor adventures, Swimming/Water sports","Running a marathon, Skydiving or bungee jumping, Traveling to a new continent","Smoking, Gambling",Prefer not to say,"Athletic build, Tall",No preference,Highly active/Sporty,5,2,"Lack of ambition, None of the above, Smoking"
Bryan Walsh,29,Male,160 - 165 cm,Engineer,"Gym, Sports, Cars/Motorbikes, Hiking, Playing musical instruments",No,"Jazz/Blues, Pop, Electronic",Michele Reeves,"Horror/Thriller, Romance, Science Fiction/Fantasy",I’m not very active,Swimming/Water sports,"Countryside, No strong preference",Swimming/Water sports,"Running a marathon, Starting your own business, Traveling to a new continent","Regular alcohol consumption, None of the above",Prefer not to say,No strong preference,18–25,No preference,4,2,Lack of ambition
Ricardo Kerr,33,Prefer not to say,195 - 200 cm,Healthcare,"Music/Art, Tv shows/Movies","No, but I would love to","Rock, Classical",Mary Lopez,Action/Adventure,Frequently (more than 3 times a week),Yoga/Pilates,"Seaside, Adventure travel",Relaxing on the beach,"Skydiving or bungee jumping, Learning a new language, Starting your own business","None of the above, Regular alcohol consumption",Prefer not to say,No strong preference,46+,Highly active/Sporty,2,5,Excessive drinking
Brian Rogers DVM,44,Non-binary,165 - 170 cm,Artist,"Sports, Gym, Playing musical instruments, Cooking/Baking, Cars/Motorbikes",Yes – Multiple types,"Pop, Rock",Samantha Moore DDS,"Drama, Action/Adventure, Romance",I’m not very active,Swimming/Water sports,City breaks,"Swimming/Water sports, Hiking/Outdoor adventures",Starting your own business,Smoking,It doesn't matter,Athletic build,18–25,Not very active,3,5,"None of the above, Smoking, Poor hygiene"
Lori Marshall,29,Prefer not to say,175 - 180 cm,IT Professional,"Socializing, Cooking/Baking",No,"Classical, Electronic, Hip-Hop/Rap",Christopher Anderson,"Romance, Science Fiction/Fantasy, Action/Adventure",Regularly (2–3 times a week),Gym/Fitness classes,Countryside,"Hiking/Outdoor adventures, Relaxing on the beach","Starting your own business, Skydiving or bungee jumping, Running a marathon","Smoking, None of the above",Male,Stylish/Well-groomed,26–35,Moderately active,3,3,"Smoking, Disrespectful behavior"
Jonathan Miller,35,Prefer not to say,160 - 165 cm,Other,"Socializing, Gym, Reading",Yes – Cat(s),"Jazz/Blues, Rock, Electronic",Christopher Crawford,"Comedy, Romance",I’m not very active,"Yoga/Pilates, Running/Jogging",Countryside,Hiking/Outdoor adventures,"Learning a new language, Skydiving or bungee jumping","Prefer not to say, Smoking",Male,"Athletic build, Stylish/Well-groomed",26–35,Highly active/Sporty,1,4,"None of the above, Disrespectful behavior, Excessive drinking"
Deborah French,27,Male,160 - 165 cm,Engineer,"Socializing, Music/Art, Sports, Tv shows/Movies, Playing musical instruments",Yes – Other pet(s),"Rock, Jazz/Blues, Electronic",Olivia Williamson,"Romance, Science Fiction/Fantasy, Drama",I’m not very active,Running/Jogging,Seaside,Hiking/Outdoor adventures,"Running a marathon, Skydiving or bungee jumping, Learning a new language",Prefer not to say,Male,"Tall, No strong preference",26–35,Highly active/Sporty,4,2,"Smoking, Excessive drinking"
Manuel Alvarez,41,Prefer not to say,200+ cm,Teacher,"Sports, Tv shows/Movies, Socializing",Yes – Dog(s),"Manele, Pop, Hip-Hop/Rap",Samantha Briggs,Comedy,Frequently (more than 3 times a week),"Running/Jogging, Team sports","No strong preference, City breaks","Swimming/Water sports, Relaxing on the beach","Skydiving or bungee jumping, Traveling to a new continent",Smoking,Male,"Tall, No strong preference",No preference,No preference,5,1,"Disrespectful behavior, Smoking, Lack of ambition"
Jasmine Shaw,24,Prefer not to say,200+ cm,IT Professional,Sports,No,Electronic,Patrick Richardson,"Action/Adventure, Science Fiction/Fantasy",Frequently (more than 3 times a week),Swimming/Water sports,Seaside,Sightseeing/Cultural tours,"Learning a new language, Running a marathon","None of the above, Prefer not to say",Male,Natural look,36–45,Moderately active,5,3,"Poor hygiene, Disrespectful behavior"
Brian Anderson,34,Prefer not to say,165 - 170 cm,Teacher,"Traveling, Socializing","No, but I would love to","Electronic, Classical, Manele",Todd Ortiz,Horror/Thriller,I’m not very active,"Yoga/Pilates, Running/Jogging",Seaside,Sightseeing/Cultural tours,Skydiving or bungee jumping,Smoking,Male,"No strong preference, Athletic build",No preference,Highly active/Sporty,5,2,"Excessive drinking, Poor hygiene"
Caitlyn Hoffman,22,Female,165 - 170 cm,IT Professional,Cars/Motorbikes,"No, but I would love to","Jazz/Blues, Rock",Lisa Moore,"Comedy, Romance",Occasionally (once a week or less),"Running/Jogging, I don't do any physical activities","Mountains, Countryside",Sightseeing/Cultural tours,Traveling to a new continent,Prefer not to say,Prefer not to say,"Athletic build, Stylish/Well-groomed",46+,No preference,4,1,"None of the above, Smoking"
Tracy Thompson,49,Male,200+ cm,Engineer,"Reading, Playing musical instruments, Tv shows/Movies",Yes – Cat(s),"Classical, Hip-Hop/Rap",Tracy Thompson,Science Fiction/Fantasy,Occasionally (once a week or less),"Swimming/Water sports, Gym/Fitness classes","Mountains, Adventure travel","Sightseeing/Cultural tours, Swimming/Water sports","Skydiving or bungee jumping, Traveling to a new continent",Gambling,Male,Natural look,36–45,No preference,3,5,"Excessive drinking, Poor hygiene"
Brandon Patterson,30,Female,200+ cm,Healthcare,Socializing,Yes – Multiple types,Jazz/Blues,Melissa Taylor,"Action/Adventure, Romance, Science Fiction/Fantasy",Regularly (2–3 times a week),Running/Jogging,"Adventure travel, City breaks","Relaxing on the beach, Sightseeing/Cultural tours",Running a marathon,Smoking,It doesn't matter,Stylish/Well-groomed,46+,Highly active/Sporty,3,4,"Poor hygiene, Disrespectful behavior"
Amy Jennings,24,Prefer not to say,175 - 180 cm,Business,Gym,Yes – Other pet(s),Rock,Leslie Carter,"Horror/Thriller, Comedy, Science Fiction/Fantasy",I’m not very active,"I don't do any physical activities, Running/Jogging",City breaks,"Sightseeing/Cultural tours, Swimming/Water sports","Learning a new language, Starting your own business",Regular alcohol consumption,It doesn't matter,Natural look,36–45,Moderately active,2,5,Poor hygiene
Kyle Nunez,38,Male,165 - 170 cm,Artist,Cars/Motorbikes,Yes – Cat(s),"Manele, Classical",Michael Cochran,Horror/Thriller,Frequently (more than 3 times a week),"Yoga/Pilates, I don't do any physical activities","Countryside, City breaks",Hiking/Outdoor adventures,"Traveling to a new continent, Skydiving or bungee jumping",Prefer not to say,Prefer not to say,Athletic build,36–45,Not very active,4,1,None of the above
Christopher Morrison,29,Non-binary,150 - 155 cm,IT Professional,"Socializing, Hiking",Yes – Dog(s),"Pop, Hip-Hop/Rap",Susan Arnold,Romance,I’m not very active,Gym/Fitness classes,"City breaks, Adventure travel","Swimming/Water sports, Sightseeing/Cultural tours","Running a marathon, Starting your own business, Learning a new language",Prefer not to say,It doesn't matter,"Stylish/Well-groomed, Athletic build",26–35,No preference,2,5,"Excessive drinking, None of the above, Poor hygiene"
Sarah Palmer,47,Female,185 - 190 cm,IT Professional,"Sports, Gym, Tv shows/Movies, Cars/Motorbikes, Traveling","No, but I would love to",Jazz/Blues,Whitney Martinez,Horror/Thriller,Regularly (2–3 times a week),Running/Jogging,City breaks,Swimming/Water sports,Skydiving or bungee jumping,Prefer not to say,Prefer not to say,"Stylish/Well-groomed, Tall",36–45,No preference,5,3,Poor hygiene
Kathryn Taylor,29,Prefer not to say,175 - 180 cm,Artist,"Traveling, Gaming, Tv shows/Movies, Playing musical instruments",Yes – Dog(s),Rock,Mrs. Christina Gonzales DVM,Science Fiction/Fantasy,Occasionally (once a week or less),"Running/Jogging, Yoga/Pilates",City breaks,"Sightseeing/Cultural tours, Relaxing on the beach","Running a marathon, Traveling to a new continent","Regular alcohol consumption, Prefer not to say",It doesn't matter,"Tall, No strong preference",26–35,No preference,4,1,"Poor hygiene, Smoking"
Pamela Hurst,44,Non-binary,190 - 195 cm,IT Professional,"Gaming, Playing musical instruments",Yes – Multiple types,Rock,Ryan Miller,Romance,Frequently (more than 3 times a week),Team sports,No strong preference,Swimming/Water sports,Skydiving or bungee jumping,Prefer not to say,Male,Stylish/Well-groomed,18–25,Highly active/Sporty,1,1,"None of the above, Disrespectful behavior"
Richard Reed,30,Female,195 - 200 cm,Engineer,"Socializing, Gym, Reading, Playing musical instruments",Yes – Dog(s),Manele,Mary Cardenas,"Science Fiction/Fantasy, Horror/Thriller",I’m not very active,Team sports,"City breaks, No strong preference",Relaxing on the beach,"Learning a new language, Skydiving or bungee jumping, Traveling to a new continent",Gambling,Female,"Tall, No strong preference",18–25,No preference,2,4,"Poor hygiene, Lack of ambition"
Joseph Smith,25,Prefer not to say,195 - 200 cm,Student,Sports,Yes – Multiple types,Hip-Hop/Rap,David Erickson,"Action/Adventure, Comedy, Drama",Occasionally (once a week or less),Swimming/Water sports,"City breaks, Adventure travel",Swimming/Water sports,"Skydiving or bungee jumping, Running a marathon",Smoking,Prefer not to say,"Stylish/Well-groomed, Athletic build",No preference,Highly active/Sporty,5,3,"None of the above, Lack of ambition, Excessive drinking"
Hunter Cummings,24,Non-binary,180 - 185 cm,Other,"Cars/Motorbikes, Sports, Hiking, Traveling, Gym","No, but I would love to","Pop, Manele, Classical",Bradley Savage,Horror/Thriller,Regularly (2–3 times a week),I don't do any physical activities,City breaks,Swimming/Water sports,"Skydiving or bungee jumping, Learning a new language","Gambling, Regular alcohol consumption",Prefer not to say,No strong preference,46+,No preference,2,1,"None of the above, Smoking"
Danielle Ferrell,26,Non-binary,155 - 160 cm,Other,Music/Art,Yes – Dog(s),Classical,Jennifer Yu,"Action/Adventure, Comedy, Drama",Regularly (2–3 times a week),"Gym/Fitness classes, Yoga/Pilates",Seaside,Swimming/Water sports,"Skydiving or bungee jumping, Starting your own business","Prefer not to say, Gambling",It doesn't matter,"No strong preference, Natural look",18–25,Moderately active,5,4,"Smoking, Disrespectful behavior"
